"V1","V2","V3","V4","V5"
"lm, Var_145 ~ Var_6 + Var_30 + Var_91 + Var_208 + Var_220, dt[, -c(1, 2, 5, 8, 9, 12, 14)]","F(5,29)","Prob > P","R-Squared","Adj-R2"
"","56.818","0.000","0.907","0.891"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)"," 4314.889","16490.775","    0.262","    0.795"
"Var_6","   -2.440","    0.365","   -6.677","    0.000"
"Var_30","    0.263","    0.168","    1.563","    0.129"
"Var_91","  443.114","  117.929","    3.757","    0.001"
"Var_208"," 1818.985","  947.813","    1.919","    0.065"
"Var_220"," 1126.647","  499.479","    2.256","    0.032"
