"V1","V2","V3","V4","V5"
"lm, Var_2 ~ Var_91 + Var_208 + Var_220 + Var_221, dt[, -c(1, 5, 8, 9, 11, 12, 14)]","F(4,30)","Prob > P","R-Squared","Adj-R2"
"","93.157","0.000","0.925","0.916"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","6287513.810","2287884.615","      2.748","      0.010"
"Var_91","  42456.411","  24714.320","      1.718","      0.096"
"Var_208","-571939.489","  61415.319","     -9.313","      0.000"
"Var_220"," 489896.163"," 102567.002","      4.776","      0.000"
"Var_221","-344988.974","  63615.702","     -5.423","      0.000"
