"V1","V2","V3","V4","V5"
"lm, Var_219 ~ Var_6 + Var_30 + Var_208 + Var_220 + Var_221, dt[, -c(1, 2, 5, 8, 9, 11, 12)]","F(5,29)","Prob > P","R-Squared","Adj-R2"
"","195.163","0.000","0.971","0.966"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","289.664"," 56.735","  5.106","  0.000"
"Var_6"," -0.003","  0.002"," -1.465","  0.154"
"Var_30"," -0.001","  0.001"," -1.827","  0.078"
"Var_208","-17.652","  3.273"," -5.393","  0.000"
"Var_220","  8.645","  1.962","  4.407","  0.000"
"Var_221"," -4.640","  1.690"," -2.746","  0.010"
