"V1","V2","V3","V4","V5"
"lm, Var_29 ~ Var_91 + Var_208 + Var_220 + Var_221, dt[, -c(1, 2, 8, 9, 11, 12, 14)]","F(4,30)","Prob > P","R-Squared","Adj-R2"
"","103.045","0.000","0.932","0.923"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","-1.594"," 0.783","-2.035"," 0.051"
"Var_91"," 0.013"," 0.008"," 1.486"," 0.148"
"Var_208"," 0.268"," 0.021","12.766"," 0.000"
"Var_220","-0.105"," 0.035","-3.001"," 0.005"
"Var_221"," 0.045"," 0.022"," 2.047"," 0.050"
