"LagNum","Population (000s)","New arrivals (immigrants) Nos.","Employed - full-time Persons ('000)","Employed - Total Persons ('000)","Unemployed - looking for full-time work Persons ('000)","Unemployment (% )","NAB Business Conditions","NAB Business Confidence","Gross disposable household income (AUD bn)","Avg. weekly Earnings; Persons; Full Time; Adult; Ordinary time earnings (AUD)","Purchase of vehicles: Chain volume measures (AUD bn)","Rent and other dwelling services: Chain volume measures (AUD bn)","Recreation and culture: Chain volume measures (AUD bn)","Food: Chain volume measures (AUD bn)","Final Consumption Expenduture: Chain volume measures (AUD bn)","Total Liabilities (including share capital) (AUD bn) ","Total Liabilities - Loans and placements (AUD bn)","Interest Rates (%)","New Motor Cars and station wagons Personal Finance (AUD bn)","Used Motor Cars and station wagons (AUD bn)","Aust. Passenger vehicles nos.","Aust. Sports utility vehicles nos. ","Average Age of Motor Vehicles (years)","Oil Prices (USD / bbl)","AUDUSD","AUDJPY","AUDEUR","Trade Weighted Index","Total New Vehicle Sales (000)"
-1,0.762632352064687,0.697272992950809,0.771863677711436,0.790919761584848,-0.569277762875253,-0.735060677512131,0.252610885749104,-0.149789171485855,0.75375706555233,0.771533722177875,0.782465401109362,0.797013289537085,0.815877208808209,0.776509664383146,0.801791491282509,0.774566016696061,0.774576444688353,-0.49206335383663,0.587775452391203,-0.156352996558167,0.342034336476287,0.709403659733664,-0.649261526958719,0.707207862903677,0.53307063213195,0.337691070510723,0.574371662764605,0.692607674168498,0.796022928941639
-0.916666666666667,0.775600804816782,0.703369985536674,0.783059282346228,0.802272581714697,-0.567349761585084,-0.738648075674803,0.263618269024466,-0.139383102020763,0.766616296718147,0.784193842702346,0.799502437805498,0.809253792277404,0.827225661104286,0.789721874185815,0.81431340559339,0.787114454932915,0.787111383045756,-0.507238349675228,0.60544044625048,-0.154075327737462,0.347589442127727,0.727926605352688,-0.658705832905621,0.719580275852722,0.544698256672005,0.356249410774692,0.584659875309656,0.70641758855199,0.812220990462603
-0.833333333333333,0.788526825773376,0.706199500081748,0.794377495365842,0.813704397358055,-0.566446787546095,-0.742696285717321,0.27741372457158,-0.130424709191647,0.779455747545274,0.796821035538198,0.816688115544507,0.821443308161342,0.838556932453318,0.802766398552598,0.82683757504573,0.799605703232748,0.799593413258604,-0.520229584644653,0.626322410285323,-0.155018644883814,0.364147569472747,0.750810836957183,-0.668222322809707,0.733913674643885,0.557654905947261,0.377393261503198,0.596526990269297,0.721746733808545,0.829265005055583
-0.75,0.80141162934412,0.70777606713893,0.805986099221455,0.825165182834647,-0.566912431563422,-0.747206965572509,0.295339992376075,-0.120631395238112,0.792254480528007,0.809442938573867,0.833884724937533,0.833550451987888,0.849874315125538,0.815614750171837,0.839323190473317,0.811977527448155,0.81197239442955,-0.530731887060938,0.643132972629115,-0.152252440457902,0.37175229812558,0.768346576793962,-0.677833042589173,0.748347930894533,0.570547764994785,0.399545156302112,0.609158495597623,0.736979433166332,0.846765295440098
-0.666666666666667,0.814240953996579,0.714706879174066,0.81700653124342,0.836632077659813,-0.568871074587402,-0.752240608023126,0.310135990510919,-0.113979563549339,0.805023990748786,0.822033208872998,0.851190902807046,0.845562382514679,0.861157813291959,0.828272870950692,0.851740648882423,0.824199362976525,0.824224364929866,-0.538658655647088,0.658488436545871,-0.149475971107656,0.378200297101149,0.784700695056393,-0.687558895216109,0.763926850026224,0.584024410757826,0.422409432021601,0.622874808081551,0.752942285985039,0.864326414674161
-0.583333333333333,0.827097421301341,0.719514441858937,0.828437838665408,0.848195918566296,-0.571180647595502,-0.758019314419528,0.320478428630734,-0.111976205129577,0.817830321922998,0.834631845791763,0.868644589440771,0.857567903282426,0.87249610168402,0.84082439019044,0.864160347467623,0.836349351090123,0.836420485940563,-0.544627617175793,0.674966808998372,-0.145048093929776,0.384542194959117,0.802225618750405,-0.697397785306052,0.779547077500218,0.595467332844464,0.444326590256511,0.634062485526446,0.766773055943525,0.88184290730231
-0.5,0.840039547872593,0.724293414921471,0.839718025721299,0.860038635535564,-0.576061319547525,-0.764818528732705,0.334406830506086,-0.112537281331581,0.8308050561773,0.847392555217512,0.886308999658937,0.869741260133283,0.884069538630138,0.853432378540306,0.876739856714141,0.848591540594909,0.848708092042763,-0.548518700702283,0.690378982706089,-0.140697114756915,0.388404034097205,0.818908305848099,-0.707328290385199,0.794250572317581,0.606735442528308,0.465196989582257,0.645094510302828,0.780155271852961,0.899456409819627
-0.416666666666667,0.853136998871085,0.727984265387052,0.852283182648657,0.872239372882206,-0.582858396898308,-0.772640308351467,0.342768524627762,-0.1185280922446,0.843976153222374,0.860386935076002,0.904005337823265,0.882164565835048,0.895918589047526,0.866191956253311,0.889533605628558,0.860966381273199,0.861136214121953,-0.55063923169284,0.704906074289227,-0.141869646849945,0.399283424165279,0.837601106766252,-0.717369070030387,0.806943242113562,0.61656457423098,0.485967210930426,0.654269008402271,0.792016465346405,0.917390882968751
-0.333333333333333,0.866409825949124,0.73922498858182,0.866302864371897,0.884815778648337,-0.589822490490189,-0.781326534315396,0.345612723244304,-0.127279480181825,0.857345233302814,0.873639605725624,0.921499620743167,0.894856558821192,0.908056617746483,0.879138862678044,0.90254615176304,0.873485563409751,0.87371117920229,-0.552216633396054,0.722237859192206,-0.145131958589946,0.408854318412534,0.855030767165094,-0.727522041018556,0.81751081236728,0.62484277402113,0.503906256777652,0.663090464287482,0.802032439284974,0.935491389534717
-0.25,0.879858464518745,0.75132110159916,0.879550173990261,0.897705698979227,-0.593039255023505,-0.790593946186034,0.344482337984488,-0.140987794278938,0.870810086028063,0.887022445553173,0.938631684634649,0.907698042204344,0.920294044812435,0.892272089995065,0.915640293423673,0.886122808046351,0.886396625371038,-0.552734436470391,0.73934047590323,-0.151446030203705,0.412317740941863,0.869869041283904,-0.737788663869607,0.82744190912752,0.630261832268606,0.517531177335855,0.672289625062588,0.809036438900866,0.953379830279826
