"","Var_1","Var_2","Var_3","Var_4","Var_5","Var_6","Var_7","Var_8","Var_9","Var_10","Var_11","Var_12","Var_13","Var_14","Var_15","Var_16","Var_17","Var_18","Var_19","Var_20","Var_21","Var_22","Var_23","Var_24","Var_25","Var_26","Var_27","Var_28","Target"
"Var_1",1,0.0387068548238736,-0.105861681161934,-0.116853391048511,0.199837352015617,0.398742185965755,0.0560256766840121,0.0359203732597636,0.0660362694253396,-0.0758886966866998,-0.286347469462641,-0.527480935256271,-0.517796606300005,-0.0135641627216382,-0.480455815156211,-0.592321126512535,-0.626592149359702,-0.294686851838784,-0.0437123932220458,0.0641237615217088,-0.0488147939014729,-0.0390529278946247,-0.217400259202861,-0.030743270298036,-0.0457496720182089,-0.0144839413735841,-0.167093914342881,-0.0485147039866051,-0.171303606002577
"Var_2",0.0387068548238736,1,-0.15355463447901,0.0280567697134822,0.0614117619253286,-0.0330126056284505,0.00800258621181578,-0.0529223919949976,0.00272129953804488,-0.109829686260637,-0.0216972110367686,-0.00700317117679024,-0.0260838057548178,0.0454432531793007,-0.0032660521280876,0.00456139419702718,-0.00097390076862293,0.0318017573123954,-0.0473812957347278,-0.023198910699529,-0.00762983265311323,0.0524425216768254,-0.0169204932506424,-0.0173389426074072,-0.0977007639195058,-0.104500276173215,-0.0538002307808626,-0.0813656896122046,0.0291226307524949
"Var_3",-0.105861681161934,-0.15355463447901,1,0.115003577770523,-0.0169884339985382,-0.0889978310696143,-0.14725705032654,0.0291050384940165,0.0546219897135289,-0.00890343322622539,0.00819558027159559,0.022253583231226,0.0318649820433395,0.01310825586173,0.0308923276947345,0.0355156388738022,0.023027274157993,0.0791619363522196,-0.0465435072831941,-0.213888469514289,0.0384269423442241,-0.138074312913662,-0.00234939716955989,0.0119309209012248,0.0598906462078814,0.0223896923749271,-0.0826010161032911,0.0181583857144895,0.0688620193060079
"Var_4",-0.116853391048511,0.0280567697134822,0.115003577770523,1,-0.11756921396527,-0.58207528782698,0.00783596333113312,-0.112266319416331,0.245204330868173,-0.0693722282219413,0.0106950727305223,0.21798866290541,0.232518554851786,0.0048852881735144,0.175567815600495,0.285354581148524,0.297681575124567,0.571833468338374,0.0335718409465442,0.0335581940117974,0.0146523753220047,-0.0101095733589039,-0.0464945352805167,0.106213057590332,0.0215435027228959,-0.0737636010921863,0.0328438943704791,-0.0147623075268535,0.084165064550083
"Var_5",0.199837352015617,0.0614117619253286,-0.0169884339985382,-0.11756921396527,1,0.257968453522295,0.0126472916852288,-0.0647952953723564,-0.0162455899345612,-0.0230907203208576,-0.0624770778419865,-0.0759077665183349,-0.125559543867905,-0.00542660321958679,-0.129549625035723,-0.182113860920858,-0.179335636615056,-0.165828674863828,-0.0616461771651582,0.0372730310668755,-0.181678702667654,-0.124763343765336,-0.00986020360895123,-0.0511752223600008,-0.0454241396599784,0.0248196072571886,-0.0789233622094969,0.00560163024633847,-0.104088351485104
"Var_6",0.398742185965755,-0.0330126056284505,-0.0889978310696143,-0.58207528782698,0.257968453522295,1,0.057403522885649,0.0274697673354063,-0.0530399777206515,-3.18180740313442e-05,-0.316800327136112,-0.353360223841745,-0.508638679150628,-0.0206325716193619,-0.549762007229012,-0.442741566706122,-0.457743964996672,-0.675270881042563,-0.0627821225422797,-0.0592812604692076,-0.0244128679644041,-0.0172923880853147,0.0118923538228169,-0.156480900471876,-0.0843683649869044,0.0257291537949565,-0.112088687685851,-0.0459023818304675,-0.22869925663713
"Var_7",0.0560256766840121,0.00800258621181578,-0.14725705032654,0.00783596333113312,0.0126472916852288,0.057403522885649,1,-0.0589724094336185,0.0132673991389792,-8.23344487385263e-06,-0.0104177135673868,-0.0783227108775958,-0.0397851074611919,0.0314580306314243,-0.0652010366941189,-0.0742544016536196,-0.00179444711701948,-0.00633125504087242,0.100090899871982,0.149024854556531,0.0754245220389338,0.131267778759246,-0.0657006988071811,-0.0590688004894107,-0.00811869625615395,-0.0423483315984357,-0.0253891832959919,-0.0479688945503807,0.0162218519414212
"Var_8",0.0359203732597636,-0.0529223919949976,0.0291050384940165,-0.112266319416331,-0.0647952953723564,0.0274697673354063,-0.0589724094336185,1,-0.0957639882109262,0.0239374341477571,-0.0402788588208327,-0.0128914691363584,-0.0364366957721445,-0.0548241010419137,0.00475395446945232,-0.0872115190361206,-0.0824739489662841,-0.0817481514319994,-0.0276767146794242,0.0272449492842157,-0.142818212979237,-0.16170873495903,0.0538422983898773,0.000867772489595224,-0.0249660877191553,-0.0419719452754251,-0.0479669434914641,-0.0527059148332742,-0.0949162541373814
"Var_9",0.0660362694253396,0.00272129953804488,0.0546219897135289,0.245204330868173,-0.0162455899345612,-0.0530399777206515,0.0132673991389792,-0.0957639882109262,1,0.154334284521153,0.003400784501372,0.0102867901910031,-0.0378479141533874,0.111333260014793,0.0551688628341953,0.0988025914016065,0.115431595632084,0.284148893417434,-0.0247124541985045,-0.0181232295222088,-0.0137445864898124,-0.0165933813771526,-0.326685632381656,0.0926938337501778,0.0795771716795436,0.0242229042525943,-0.106681428420825,0.0440800796862662,0.0485331180568619
"Var_10",-0.0758886966866998,-0.109829686260637,-0.00890343322622539,-0.0693722282219413,-0.0230907203208576,-3.18180740313442e-05,-8.23344487385263e-06,0.0239374341477571,0.154334284521153,1,0.0669701347595268,0.161071800524894,-0.0509258056704861,0.0968437782207628,0.031833096921,0.0473715465350166,0.0927641756433581,0.139530604019918,0.0345614517414386,0.018570052093599,-0.0084049092256111,0.0232243050733421,-0.00420033750526469,-0.00455575071572631,0.0262721186508032,0.0473475759480113,-0.0421272867748674,0.0292822284149049,-0.0131530247945987
