"Features","Lag","Correlation"
"Population (000s)","0","0.00700842847580518"
"New arrivals (immigrants) Nos.","0","-0.031887990770915"
"Employed - full-time Persons ('000)","0","-0.0401668336077587"
"Employed - Total Persons ('000)","0","-0.00324546913415183"
"Unemployed - looking for full-time work Persons ('000)","0","0.0434505272552641"
"Unemployment (% )","0","-0.0232148085337852"
"NAB Business Conditions","0","0.072394521695715"
"NAB Business Confidence","0","0.0551962309122853"
"Gross disposable household income (AUD bn)","0","-0.0467581964636584"
"Avg. weekly Earnings; Persons; Full Time; Adult; Ordinary time earnings (AUD)","-5","-0.205607925940119"
"Purchase of vehicles: Chain volume measures (AUD bn)","0","0.0897919914242008"
"Rent and other dwelling services: Chain volume measures (AUD bn)","0","0.0149555000995283"
"Recreation and culture: Chain volume measures (AUD bn)","0","0.0585917154791859"
"Food: Chain volume measures (AUD bn)","-18","-0.18240083045776"
"Final Consumption Expenduture: Chain volume measures (AUD bn)","0","0.0206519611629215"
"Total Liabilities (including share capital) (AUD bn) ","60","-0.157673726786694"
"Total Liabilities - Loans and placements (AUD bn)","4","0.140278322696954"
"Interest Rates (%)","0","0.0128490288975276"
"New Motor Cars and station wagons Personal Finance (AUD bn)","0","0.022916750190777"
"Used Motor Cars and station wagons (AUD bn)","0","0.038943716398957"
"Aust. Passenger vehicles nos.","0","0.0641885670381338"
"Aust. Sports utility vehicles nos. ","0","0.0425030163359271"
"Average Age of Motor Vehicles (years)","-30","-0.284164121814296"
"Oil Prices (USD / bbl)","1","0.138853811224172"
"AUDUSD","-1","0.184645527662608"
"AUDJPY","-38","-0.182128594269047"
"AUDEUR","0","0.0401960256132021"
"Trade Weighted Index","-1","0.188860771565406"
