"","Var_1","Var_2","Var_3","Var_4","Var_5","Var_6","Var_7","Var_8","Var_9","Var_10","Var_11","Var_12","Var_13","Var_14","Var_15","Var_16","Var_17","Var_18","Var_19","Var_20","Var_21","Var_22","Var_23","Var_24","Var_25","Var_26","Var_27","Var_28","Target"
"Var_1",1,0.80744981775197,0.980281018147625,0.989734099689182,-0.406639420397954,-0.682356754377593,0.0756489578820423,-0.289030913866658,0.997883548015899,0.991037627016399,0.933576353456378,0.993359953545073,0.978627427245174,0.996404554724239,0.986165711144289,0.994462274482757,0.994365174178463,-0.680549627894426,0.820467880719439,-0.328594706274649,0.225424481830333,0.953356141584312,-0.84583330485421,0.874970678348985,0.702624923447453,0.458254044612268,0.749167097949839,0.815739234564944,0.920850561615856
"Var_2",0.80744981775197,1,0.866282923754635,0.853952941722525,-0.566513827401476,-0.768848499441074,0.0610099012422582,-0.41729092412353,0.817247721774106,0.788072212486885,0.772873055269719,0.831430688753363,0.849634190594563,0.829282431550775,0.845338930270142,0.840338823237684,0.840976609837071,-0.288253318867932,0.540869124855741,-0.295857241125875,0.269872805044464,0.73162692155195,-0.853265969202381,0.834741679037877,0.650000692630411,0.39964014394087,0.534892193435747,0.718444190553728,0.792952901678718
"Var_3",0.980281018147625,0.866282923754635,1,0.993420965397293,-0.499752424054422,-0.756212828510248,0.0952488973071577,-0.350135031016888,0.983634712485046,0.967360947772266,0.92346329771617,0.984921262121333,0.984670259784576,0.982781241210854,0.986366388983662,0.990055625077245,0.990242883151289,-0.560003178337348,0.749742231555045,-0.329941215808426,0.267067604743637,0.911606197029334,-0.88873016133631,0.912115587964047,0.734415923220751,0.478210799255692,0.720808486473421,0.837989929716211,0.922627019156201
"Var_4",0.989734099689182,0.853952941722525,0.993420965397293,1,-0.51016033055054,-0.766012851328869,0.127818761488052,-0.313144535762121,0.989020139069906,0.978178784128029,0.940132749486315,0.99660218244702,0.994478937002366,0.99213573067947,0.996741808239313,0.994865304543632,0.99492227404231,-0.600797540958102,0.767900499995403,-0.314466110253027,0.27865949266483,0.929972529725942,-0.87742805416593,0.90331615787478,0.705698642339401,0.462404020966114,0.721398430293159,0.826671433156096,0.93734317948932
"Var_5",-0.406639420397954,-0.566513827401476,-0.499752424054422,-0.51016033055054,1,0.913738959698034,-0.538295083410594,0.187214018920424,-0.391181000761471,-0.394344053757146,-0.584071898589479,-0.498498361093206,-0.564188498049698,-0.438403100504579,-0.539490048333247,-0.439323879786477,-0.440264885977135,-0.0502797154658651,-0.230179945124425,-0.118842039388866,-0.575906114987608,-0.374373376073655,0.428137330536398,-0.523774625217744,-0.174855529222385,-0.150650220026243,-0.222346740933462,-0.371627340009653,-0.606887587202923
"Var_6",-0.682356754377593,-0.768848499441074,-0.756212828510248,-0.766012851328869,0.913738959698034,1,-0.469277204432507,0.256175494022074,-0.668196582554664,-0.665536109515786,-0.807598629244285,-0.756709160845783,-0.806478849146035,-0.70736076477886,-0.788326144581538,-0.706746680581538,-0.707670716558355,0.185824823596084,-0.461174900617075,0.0262694628196243,-0.496687445818414,-0.632608832562585,0.644264782662425,-0.730391934926427,-0.3821987233847,-0.287552997822064,-0.43522270385321,-0.588052177905588,-0.818898450786359
"Var_7",0.0756489578820423,0.0610099012422582,0.0952488973071577,0.127818761488052,-0.538295083410594,-0.469277204432507,1,0.45477614740612,0.0523412663343261,0.0923057456718956,0.295783282381314,0.151817158607372,0.202884119572656,0.101274987623105,0.182746283235944,0.0891214766177667,0.090210651977903,0.0215299006441804,0.0301079733505847,0.263406490447135,0.366545279269481,0.14349862882904,-0.0519575429146892,0.118175686218031,-0.00810274020855408,0.246296870765053,0.0360588295571361,0.169024999593652,0.329108279804999
"Var_8",-0.289030913866658,-0.41729092412353,-0.350135031016888,-0.313144535762121,0.187214018920424,0.256175494022074,0.45477614740612,1,-0.299087481725789,-0.274513474284683,-0.221030041889374,-0.279809709153346,-0.282266153260428,-0.280512077832814,-0.282840776078145,-0.298777236969205,-0.298712834421938,0.0241999210452674,-0.187027400101427,0.175152626575903,0.0195989796569085,-0.206781700697951,0.322234822233708,-0.283501711222034,-0.134287067557721,0.0665114703847658,-0.0861358688539849,-0.120597933050547,-0.190929553298406
"Var_9",0.997883548015899,0.817247721774106,0.983634712485046,0.989020139069906,-0.391181000761471,-0.668196582554664,0.0523412663343261,-0.299087481725789,1,0.98885881780587,0.918700050602171,0.989013926227161,0.975203825659828,0.995233257334882,0.982300333912047,0.997024417099118,0.996961551204805,-0.656493356139608,0.807177080423792,-0.340605050310038,0.214049679081402,0.946066739016404,-0.868026519802128,0.887897549647725,0.736378470258536,0.472265240371894,0.756569556686703,0.832280329853197,0.911209250016289
"Var_10",0.991037627016399,0.788072212486885,0.967360947772266,0.978178784128029,-0.394344053757146,-0.665536109515786,0.0923057456718956,-0.274513474284683,0.98885881780587,1,0.924953435266906,0.983922376293945,0.968960658607426,0.988210524490818,0.976304439662284,0.984658350933561,0.984530898915704,-0.674709904513095,0.812936975426088,-0.32305792666015,0.216846626024228,0.949787282417577,-0.839337621195365,0.859565466199628,0.696402397284407,0.474936431167641,0.73870820627757,0.807007285766591,0.913814041295142
"Var_11",0.933576353456378,0.772873055269719,0.92346329771617,0.940132749486315,-0.584071898589479,-0.807598629244285,0.295783282381314,-0.221030041889374,0.918700050602171,0.924953435266906,1,0.953787634142189,0.95545634663961,0.93904299243511,0.958651963597481,0.924709414903861,0.925248140537233,-0.613821779847732,0.831336177257134,-0.17270813555875,0.386352878731697,0.936248697230226,-0.733409256929611,0.832157974694802,0.574443664773434,0.489181900976148,0.705345822357031,0.768621051239035,0.983843955954813
"Var_12",0.993359953545073,0.831430688753363,0.984921262121333,0.99660218244702,-0.498498361093206,-0.756709160845783,0.151817158607372,-0.279809709153346,0.989013926227161,0.983922376293945,0.953787634142189,1,0.994562981233623,0.995054992263785,0.998135988243535,0.992633976691113,0.99267971301293,-0.645700377301076,0.796425012876915,-0.302041074439847,0.27839623340552,0.946085615258166,-0.854055808103561,0.884595098229832,0.680749144525206,0.45552727519853,0.728470505789634,0.81537934653145,0.946613232056032
"Var_13",0.978627427245174,0.849634190594563,0.984670259784576,0.994478937002366,-0.564188498049698,-0.806478849146035,0.202884119572656,-0.282266153260428,0.975203825659828,0.968960658607426,0.95545634663961,0.994562981233623,1,0.984032925524146,0.997970858410567,0.98470688432051,0.984855749919733,-0.589769754228296,0.761437101763791,-0.271698760972675,0.318136309295571,0.927832364273704,-0.85906751210165,0.894563841892907,0.688703533735099,0.473138041190999,0.71664818003742,0.830750448800674,0.957013844565529
"Var_14",0.996404554724239,0.829282431550775,0.982781241210854,0.99213573067947,-0.438403100504579,-0.70736076477886,0.101274987623105,-0.280512077832814,0.995233257334882,0.988210524490818,0.93904299243511,0.995054992263785,0.984032925524146,1,0.990536336799885,0.995781839501062,0.995739255389016,-0.652246247751063,0.812953988939484,-0.318382572503892,0.242088031044234,0.952395507625779,-0.867444238033993,0.884757845833245,0.706253946604527,0.47025368676447,0.733821464885397,0.818354467181709,0.932123301462233
"Var_15",0.986165711144289,0.845338930270142,0.986366388983662,0.996741808239313,-0.539490048333247,-0.788326144581538,0.182746283235944,-0.282840776078145,0.982300333912047,0.976304439662284,0.958651963597481,0.998135988243535,0.997970858410567,0.990536336799885,1,0.989266484897475,0.98941327111032,-0.612748948202213,0.780086309508845,-0.289067049006168,0.302208566892095,0.938030496476267,-0.862521274692883,0.893737485007412,0.679024318905217,0.464841575146272,0.715499283776603,0.818044142859154,0.954822378072699
"Var_16",0.994462274482757,0.840338823237684,0.990055625077245,0.994865304543632,-0.439323879786477,-0.706746680581538,0.0891214766177667,-0.298777236969205,0.997024417099118,0.984658350933561,0.924709414903861,0.992633976691113,0.98470688432051,0.995781839501062,0.989266484897475,1,0.999981981770378,-0.626714031640112,0.78087258272202,-0.337281225760422,0.244687808126237,0.937835487155955,-0.889533459576086,0.904287346622692,0.744485840636195,0.485962407505063,0.738974133783591,0.844559566771748,0.924372011460078
"Var_17",0.994365174178463,0.840976609837071,0.990242883151289,0.99492227404231,-0.440264885977135,-0.707670716558355,0.090210651977903,-0.298712834421938,0.996961551204805,0.984530898915704,0.925248140537233,0.99267971301293,0.984855749919733,0.995739255389016,0.98941327111032,0.999981981770378,1,-0.626082527526445,0.781000355917085,-0.337501219437952,0.244827599529497,0.937793268875136,-0.889856712995446,0.904720561131864,0.744493113285513,0.485853018865814,0.740112764246056,0.844792588680451,0.924655272224603
"Var_18",-0.680549627894426,-0.288253318867932,-0.560003178337348,-0.600797540958102,-0.0502797154658651,0.185824823596084,0.0215299006441804,0.0241999210452674,-0.656493356139608,-0.674709904513095,-0.613821779847732,-0.645700377301076,-0.589769754228296,-0.652246247751063,-0.612748948202213,-0.626714031640112,-0.626082527526445,1,-0.682315460181362,0.332740554742139,-0.0110716843231284,-0.696178789579436,0.379047880894075,-0.357614943058645,-0.257041498350703,-0.126809141014737,-0.51496079712423,-0.403273520450115,-0.558633517257327
"Var_19",0.820467880719439,0.540869124855741,0.749742231555045,0.767900499995403,-0.230179945124425,-0.461174900617075,0.0301079733505847,-0.187027400101427,0.807177080423792,0.812936975426088,0.831336177257134,0.796425012876915,0.761437101763791,0.812953988939484,0.780086309508845,0.78087258272202,0.781000355917085,-0.682315460181362,1,-0.0151405246255667,0.258780934242042,0.897807195644001,-0.526295706428181,0.655073370189834,0.488640549961503,0.330649752419055,0.76056176152205,0.611300604536279,0.783200270791179
"Var_20",-0.328594706274649,-0.295857241125875,-0.329941215808426,-0.314466110253027,-0.118842039388866,0.0262694628196243,0.263406490447135,0.175152626575903,-0.340605050310038,-0.32305792666015,-0.17270813555875,-0.302041074439847,-0.271698760972675,-0.318382572503892,-0.289067049006168,-0.337281225760422,-0.337501219437952,0.332740554742139,-0.0151405246255667,1,0.275230801228578,-0.211757585077202,0.425447111333495,-0.242261716755111,-0.211067472458347,-0.115725391525898,-0.0819152120975378,-0.173240397176902,-0.164617496656528
"Var_21",0.225424481830333,0.269872805044464,0.267067604743637,0.27865949266483,-0.575906114987608,-0.496687445818414,0.366545279269481,0.0195989796569085,0.214049679081402,0.216846626024228,0.386352878731697,0.27839623340552,0.318136309295571,0.242088031044234,0.302208566892095,0.244687808126237,0.244827599529497,-0.0110716843231284,0.258780934242042,0.275230801228578,1,0.353044596817147,-0.188180238650165,0.306339542503391,0.12987227570976,0.24868556017958,0.162223020953454,0.285857210852363,0.433302647681674
"Var_22",0.953356141584312,0.73162692155195,0.911606197029334,0.929972529725942,-0.374373376073655,-0.632608832562585,0.14349862882904,-0.206781700697951,0.946066739016404,0.949787282417577,0.936248697230226,0.946085615258166,0.927832364273704,0.952395507625779,0.938030496476267,0.937835487155955,0.937793268875136,-0.696178789579436,0.897807195644001,-0.211757585077202,0.353044596817147,1,-0.75425309948368,0.811129947079507,0.641261668254191,0.482423862375786,0.758239434538727,0.774231948669599,0.92197118539123
"Var_23",-0.84583330485421,-0.853265969202381,-0.88873016133631,-0.87742805416593,0.428137330536398,0.644264782662425,-0.0519575429146892,0.322234822233708,-0.868026519802128,-0.839337621195365,-0.733409256929611,-0.854055808103561,-0.85906751210165,-0.867444238033993,-0.862521274692883,-0.889533459576086,-0.889856712995446,0.379047880894075,-0.526295706428181,0.425447111333495,-0.188180238650165,-0.75425309948368,1,-0.867388846031898,-0.752015071529582,-0.442529583417349,-0.554028552789586,-0.758029283595309,-0.769198283620568
"Var_24",0.874970678348985,0.834741679037877,0.912115587964047,0.90331615787478,-0.523774625217744,-0.730391934926427,0.118175686218031,-0.283501711222034,0.887897549647725,0.859565466199628,0.832157974694802,0.884595098229832,0.894563841892907,0.884757845833245,0.893737485007412,0.904287346622692,0.904720561131864,-0.357614943058645,0.655073370189834,-0.242261716755111,0.306339542503391,0.811129947079507,-0.867388846031898,1,0.816731633990805,0.566596258377258,0.697360404111596,0.882630436991564,0.855465666047118
"Var_25",0.702624923447453,0.650000692630411,0.734415923220751,0.705698642339401,-0.174855529222385,-0.3821987233847,-0.00810274020855408,-0.134287067557721,0.736378470258536,0.696402397284407,0.574443664773434,0.680749144525206,0.688703533735099,0.706253946604527,0.679024318905217,0.744485840636195,0.744493113285513,-0.257041498350703,0.488640549961503,-0.211067472458347,0.12987227570976,0.641261668254191,-0.752015071529582,0.816731633990805,1,0.655486230525227,0.736578165298718,0.937567441928807,0.637181151138946
"Var_26",0.458254044612268,0.39964014394087,0.478210799255692,0.462404020966114,-0.150650220026243,-0.287552997822064,0.246296870765053,0.0665114703847658,0.472265240371894,0.474936431167641,0.489181900976148,0.45552727519853,0.473138041190999,0.47025368676447,0.464841575146272,0.485962407505063,0.485853018865814,-0.126809141014737,0.330649752419055,-0.115725391525898,0.24868556017958,0.482423862375786,-0.442529583417349,0.566596258377258,0.655486230525227,1,0.335582980925573,0.701508944744749,0.546772110115678
"Var_27",0.749167097949839,0.534892193435747,0.720808486473421,0.721398430293159,-0.222346740933462,-0.43522270385321,0.0360588295571361,-0.0861358688539849,0.756569556686703,0.73870820627757,0.705345822357031,0.728470505789634,0.71664818003742,0.733821464885397,0.715499283776603,0.738974133783591,0.740112764246056,-0.51496079712423,0.76056176152205,-0.0819152120975378,0.162223020953454,0.758239434538727,-0.554028552789586,0.697360404111596,0.736578165298718,0.335582980925573,1,0.801136121203355,0.696821201973694
"Var_28",0.815739234564944,0.718444190553728,0.837989929716211,0.826671433156096,-0.371627340009653,-0.588052177905588,0.169024999593652,-0.120597933050547,0.832280329853197,0.807007285766591,0.768621051239035,0.81537934653145,0.830750448800674,0.818354467181709,0.818044142859154,0.844559566771748,0.844792588680451,-0.403273520450115,0.611300604536279,-0.173240397176902,0.285857210852363,0.774231948669599,-0.758029283595309,0.882630436991564,0.937567441928807,0.701508944744749,0.801136121203355,1,0.819608497359404
"Target",0.920850561615856,0.792952901678718,0.922627019156201,0.93734317948932,-0.606887587202923,-0.818898450786359,0.329108279804999,-0.190929553298406,0.911209250016289,0.913814041295142,0.983843955954813,0.946613232056032,0.957013844565529,0.932123301462233,0.954822378072699,0.924372011460078,0.924655272224603,-0.558633517257327,0.783200270791179,-0.164617496656528,0.433302647681674,0.92197118539123,-0.769198283620568,0.855465666047118,0.637181151138946,0.546772110115678,0.696821201973694,0.819608497359404,1
